Price,Close,High,Low,Open,Volume
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS
Date,,,,,
2000-01-03,15.532902717590332,15.532902717590332,14.933643212516833,15.045208009912747,25152894
2000-01-04,16.517858505249023,16.702735824322286,15.226903034149379,15.532907628083068,47648560
2000-01-05,15.838902473449707,16.874854636900576,15.618962554222222,15.87396517235001,36396207
2000-01-06,16.638980865478516,17.08523752141635,16.065224148899244,16.065224148899244,70573968
2000-01-07,17.423118591308594,17.843873709958352,16.256476352579327,16.670858658729554,83453217
2000-01-10,17.180864334106445,18.47819628706507,16.906736737208732,17.85024936176024,58497022
2000-01-11,15.80703353881836,17.021486663105897,15.807033538818358,17.008737172192063,25729224
2000-01-12,15.603031158447266,16.03335002585807,15.083461982286813,15.555217664570801,29729836
2000-01-13,15.587091445922852,16.29472617268189,15.497839859206445,15.68271713339587,34199308
2000-01-14,15.249212265014648,15.618968126318265,15.17908684219667,15.618968126318265,15967246
2000-01-17,15.038839340209961,16.00147840761552,14.809336831326263,15.580721874886896,46484261
2000-01-18,15.07390022277832,15.363966985975006,14.901772395568024,15.102588838349462,28686319
2000-01-19,15.552027702331543,15.778343060077757,15.300212077039493,15.357588001202236,26623142
2000-01-20,15.153582572937012,15.606213228715431,15.061143954186159,15.491461395528761,12278096
2000-01-21,15.137641906738281,15.284269364827642,15.013327658898527,15.220518071964785,12491796
2000-01-24,14.554327964782715,15.322525703943752,14.477827153666283,15.086647880816773,19667143
2000-01-25,14.334389686584473,14.5288281437869,14.190949198750163,14.407702167213301,23597920
2000-01-26,14.334389686584473,14.334389686584473,14.334389686584473,14.334389686584473,0
2000-01-27,14.67226505279541,15.013332254279364,14.535201277672508,14.598951301310366,21205095
2000-01-28,15.84209156036377,15.848468237559763,14.834829156106938,14.834829156106938,52762279
2000-01-31,15.599844932556152,16.368042771007733,15.4595927830123,15.68271985542337,51181391
2000-02-01,15.714592933654785,15.982346407476793,15.475528068450016,15.618967245320585,23279485
2000-02-02,15.77834701538086,16.492357263128664,15.682720021558444,16.38398077670652,24676879
2000-02-03,16.498729705810547,16.887610424806848,15.848470903465703,15.937721201932893,77717350
2000-02-04,16.313846588134766,16.8780419849226,16.22459631458028,16.575225887262235,33982238
2000-02-07,15.771970748901367,16.49235634731574,15.529717515571065,16.49235634731574,21819083
2000-02-08,15.446843147277832,15.842098062812893,15.351216147377173,15.74647235165108,25418399
2000-02-09,15.644469261169434,16.19272704912006,15.501030068286884,16.19272704912006,14956246
2000-02-10,15.861221313476562,15.9982851082591,15.440464911171391,15.440464911171391,19541274
2000-02-11,15.94410228729248,16.42860886736993,15.720973883937628,16.0014782360831,31623752
2000-02-14,16.99598503112793,17.222301686290624,16.02378519946425,16.06522329690747,67707767
2000-02-15,16.186351776123047,17.34024329528479,15.74647046452284,17.333867904974365,50319322
2000-02-16,15.937726974487305,16.38398378340908,15.778349910940673,16.38398378340908,21683665
2000-02-17,15.937726974487305,16.17998026572687,15.746474240483545,15.8102255813978,18448442
2000-02-18,15.370339393615723,16.116223922602845,15.236462650240123,16.049286839653647,16000844
2000-02-21,15.567967414855957,15.867597874880396,15.300215195422508,15.491466596626585,21332035
2000-02-22,15.115333557128906,15.708216389697606,14.917705516693193,15.618966097475012,17503185
2000-02-23,14.92089557647705,15.810220572267898,14.790205884504664,15.612592509039134,13530713
2000-02-24,15.513778686523438,15.746469463786836,14.933645268656596,15.045210081413316,16693494
2000-02-25,15.363965034484863,15.714594746728451,15.246026113478763,15.427716359888676,11083761
2000-02-28,15.647656440734863,15.85484696048788,15.12808726032716,15.363965103397351,15615542
2000-02-29,14.583015441894531,16.702732688440943,14.39813815753135,15.867596569514333,41242798
2000-03-01,15.057961463928223,15.39584170648451,14.343951212056785,14.853959271244252,21711444
2000-03-02,14.40770149230957,15.389465194945064,14.216448806228126,15.23646356157538,24391861
2000-03-03,13.272933959960938,14.52882646972638,13.256997418554349,14.216447834105761,18472003
2000-03-06,13.521560668945312,14.280195792539796,12.950989834804117,13.687313032439368,25168241
2000-03-07,13.228309631347656,13.610815001139363,12.90955558610079,13.52156469326299,21692038
2000-03-08,12.205105781555176,13.323934380203726,12.170043074440306,13.323934380203726,18162937
2000-03-09,11.405034065246582,12.367672853445445,11.229719216309928,12.208295835206545,24882047
2000-03-10,10.863149642944336,11.532534540034288,10.719709838033861,11.532534540034288,13936660
