Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,,
Date,,,,,,,
2000-01-03,15.532901763916016,15.532901763916016,14.933642295635279,15.045207086181444,25152894,15.532901763916016,15.532901763916016
2000-01-04,16.517858505249023,16.702735824322286,15.226903034149379,15.532907628083068,47648560,15.626707167852492,15.571527518478096
2000-01-05,15.838912010192871,16.87486479739969,15.618971958537614,15.873974730204733,36396207,15.64691715283729,15.582013184819852
2000-01-06,16.638978958129883,17.085235562912718,16.06522230732111,16.06522230732111,70573968,15.741399229531822,15.623462822988873
2000-01-07,17.423114776611328,17.843869803139036,16.256472793312046,16.670855008735515,83453217,15.901562614967965,15.694037409405441
2000-01-10,17.180864334106445,18.47819628706507,16.906736737208732,17.85024936176024,58497022,16.023400873933536,15.752344347629009
2000-01-11,15.807037353515625,17.02149077088605,15.807037353515625,17.008741276895393,25729224,16.002794824369925,15.754489171389269
2000-01-12,15.603026390075684,16.03334512597869,15.083457372698412,15.555212910811285,29729836,15.964721640151426,15.748549454475011
2000-01-13,15.587092399597168,16.294727169651846,15.497840807420031,15.682718092920911,34199308,15.928756950574831,15.742217805264117
2000-01-14,15.249213218688965,15.618969103116836,15.179087791485394,15.618969103116836,15967246,15.864038499919035,15.722884292065093
2000-01-17,15.038834571838379,16.001473334019533,14.809332135723146,15.580716934700373,46484261,15.78544764962564,15.696058812840516
2000-01-18,15.073895454406738,15.363962125845745,14.901767681646149,15.102584060902727,28686319,15.717680773890507,15.671660249764681
2000-01-19,15.552027702331543,15.778343060077757,15.300212077039493,15.357588001202236,26623142,15.701904290884892,15.666968777316322
2000-01-20,15.153586387634277,15.606217157355978,15.061147745613328,15.491465295282179,12278096,15.649683538194358,15.646836134583692
2000-01-21,15.137650489807129,15.284278031034509,15.013336171480985,15.220526702024559,12491796,15.600918485967004,15.62686807008265
2000-01-24,14.554327964782715,15.322525703943752,14.477827153666283,15.086647880816773,19667143,15.501243198235166,15.584807673796378
2000-01-25,14.334381103515625,14.528819444293235,14.190940701569838,14.407693540246798,23597920,15.390113474928542,15.535771337706938
2000-01-26,14.334381103515625,14.334381103515625,14.334381103515625,14.334381103515625,0,15.289567534793978,15.488657995189632
2000-01-27,14.67226505279541,15.013332254279364,14.535201277672508,14.598951301310366,21205095,15.230776822222685,15.456642585683976
2000-01-28,15.842094421386719,15.848471099734317,14.834831835222035,14.834831835222035,52762279,15.288997545952592,15.47175834394683
2000-01-31,15.599837303161621,16.36803476591175,15.459585222210693,15.682712185497316,51181391,15.318601332353452,15.476781048229762
2000-02-01,15.714594841003418,15.982348347323834,15.475529946782304,15.618969141062712,23279485,15.356314999843924,15.486107079318925
2000-02-02,15.778343200683594,16.492353275806668,15.682716229980713,16.383976815586475,24676879,15.396508161828654,15.497567319372441
2000-02-03,16.498733520507812,16.887614329417836,15.848474567815607,15.937724886918499,77717350,15.501482005512385,15.53682873902481
2000-02-04,16.313852310180664,16.878047904858796,16.22460200532184,16.575231700986347,33982238,15.578850605956982,15.567300251619157
2000-02-07,15.771971702575684,16.49235734454918,15.5297184545972,16.49235734454918,21819083,15.597243091349238,15.575326583029218
2000-02-08,15.446842193603516,15.842097084735888,15.35121519960678,15.74647137947792,25418399,15.582919196325836,15.570287979522329
2000-02-09,15.6444673538208,16.192725074928713,15.501028178426127,16.192725074928713,14956246,15.588780925611072,15.573196974592857
2000-02-10,15.861222267150879,15.998286070174535,15.44046583954724,15.44046583954724,19541274,15.614727720043433,15.584492084104937
2000-02-11,15.944098472595215,16.428604936752315,15.720970122624824,16.00147440765838,31623752,15.646096363143604,15.598594295418282
2000-02-14,16.995983123779297,17.22229975354395,16.02378340121927,16.06522149401216,67707767,15.774657007013671,15.653393857314793
2000-02-15,16.186351776123047,17.34024329528479,15.74647046452284,17.333867904974365,50319322,15.813866032643135,15.674294167856294
2000-02-16,15.937723159790039,16.38397986190018,15.778346134390329,16.38397986190018,21683665,15.825661949514268,15.68462471655958
2000-02-17,15.937723159790039,16.17997639304624,15.746470471562649,15.81022179721801,18448442,15.836334445731008,15.694550145705874
2000-02-18,15.370336532592773,16.116220922741533,15.236459814136884,16.04928385225195,16000844,15.791953692098797,15.681835886368106
2000-02-21,15.567964553833008,15.867594958792479,15.300212383606063,15.491463749662671,21332035,15.770621393216341,15.677370343915749
